label,sentence
주소,주소
주소,장소
주소,좌표
주소,위치
주소,좌표 찍어줘
주소,주소 머임
주소,위치 어디임
주소,어케 가?
주소,어디서하니
주소,어디에서 하니
주소,어디에 있니
주소,어디에 있어
주소,어떻게 가니
주소,어떻게 가
주소,어떻게 가나
주소,장소가 어디
주소,장소 어케가나
주소,장소가 어디야
주소,우에가노
주소,우쩨가나
주소,어떻게 가는거야
주소,어뗗게 가나
주소,축제 어딨니
주소,축제 어케가
주소,축제 어떻게 가나
주소,축제 어떻게 가
주소,거기 어떻게 가는지 방법 알려줘
주소,축제 위치가 어디니
주소,축제 위치가 어디에 있니
주소,축제 위치가 어디에 있니
주소,어디서 개최하니
주소,어디에서 열리니
주소,축제 위치가 어디니
주소,축제 지역이 어디니
주소,축제 어디서 하니
주소,거기 어떻게 가니
주소,거기 가는 방법
주소,거기 가는 방법 알려줄래?
주소,거기 어떻게 가
주소,축제 갈 방법 알려줘
주소,축제 가는 방법 갈켜줘
주소,축제 가는 방법 알고있어?
주소,축제 위치가 어디쯤에 있을까?
주소,축제 주소 찍어줘
주소,축제 주소 알려줘
주소,축제 주소 가르쳐줘
주소,축제 주소로 알려줘
주소,축제 어떻게 하면 갈 수 있어?
주소,축제 어떻게 가
주소,축제 개최하는 곳
주소,축제 가는 길 알려줘
주차장,오토바이
주차장,자가용
주차장,버스
주차장,트럭
주차장,승용차
주차장,주차장
주차장,주변 주차장
주차장,근처 주차장
주차장,인근 주차장
주차장,주차장 있어?
주차장,주차할 곳
주차장,차 댈곳
주차장,축제 가까운 주차장
주차장,축제랑 가까운 주차장
주차장,축제 주차할 곳
주차장,지도에 주차장좀 검색해줘
주차장,주변주차장좀 검색해봐봐
주차장,주차장 어디서 하니
주차장,주차장 어디에 있니
주차장,주차장 어디 있니
주차장,주차장 어떻게 가니?
주차장,주차장 어떻게 가?
주차장,주차장 어떻게 가나
주차장,주차장 어케 가?
주차장,주차장 어디
주차장,주차장 어케가나
주차장,축제 주차장 어디야
주차장,주차장 우에가노
주차장,주차장 우쩨가나
주차장,주차장 좌표
주차장,주차장 어떻게 가는거야
주차장,축제 인근에 주차장있어?
주차장,축제 주차장 위치
주차장,인근 주차장 어디
주차장,축제 추자장 어딨어
주차장,축제 추자장 어떻게 가나?
주차장,차 댈때 어디야
주차장,차 댈때 어딨니
주차장,차 어디 대니
주차장,차 어디에 대면 되니
주차장,차 댈만한데
주차장,차 댈만한데 알려줘
주차장,차 널널한데
주차장,주차 편한데
주차장,주차 어디
주차장,주차 어디가
주차장,주차 장소 갈켜줘
주차장,주차장 갈켜줘
주차장,주차장 있음?
주차장,주차장있냐
주차장,차 어디대
주차장,축제랑 가까운 주차장
주차장,축제 주차장
주차장,축제 주차장위치
날씨,날씨
날씨,기온
날씨,기상청
날씨,강수확률
날씨,기상 예보
날씨,일기예보
날씨,날씨예보
날씨,그 날 날씨
날씨,날씨 어때?
날씨,그 때 날씨 어때
날씨,비 안오지?
날씨,비 안 오려나?
날씨,그 날 맑아?
날씨,그날 몇 도야?
날씨,그때 더워?
날씨,그 때 추워?
날씨,날씨 정보
날씨,날씨는 어때
날씨,날씨 추워?
날씨,날씨 더워?
날씨,그 날 비올까?
날씨,날씨 알려줘
날씨,많이 더울까
날씨,많이 추울까
날씨,날씨는 어떨까
날씨,몇 도 일까
날씨,몇도야
날씨,우산써야돼?
날씨,날씨머얌
날씨,추워?
날씨,더워?
날씨,날씨 갈쳐줘
날씨,날씨 알려줘
날씨,옷차림 머입어
날씨,반팔 입을까?
날씨,긴팔 입을까?
날씨,가디건 걸칠까?
날씨,잠바입어?
날씨,점퍼입어?
날씨,코트 입을까?
날씨,머입지
날씨,뭐입지
날씨,기온 좀
날씨,날씨 부탁
날씨,날씨 좀
날씨,기상예보 좀 알려줘
날씨,하늘상태 알려줘
날씨,기상청 날씨
날씨,일기 예보 알려줘
날씨,날씨 정보 알려줘
날씨,날씨는 어떨까
날씨,체감온도 어떨지 알려줜
날씨,강수 확률 알려죠
날씨,축제날 강수
날씨,축제 날씨
날씨,축제에 날씨
날씨,축제엔 날씨가 어떨까
날씨,축제 비오나
날씨,축제 비올까
맛집,한식
맛집,중식
맛집,분식
맛집,양식
맛집,식당
맛집,음식점
맛집,음식
맛집,밥집
맛집,맛집
맛집,식사
맛집,축제 주위에 밥
맛집,축제 주위 맛집
맛집,축제 주위 식당
맛집,축제 주위 음식점
맛집,축제 주변 식당
맛집,축제 주변 맛집
맛집,축제 주변 음식점
맛집,축제 주변 밥집
맛집,밥 먹을 곳 어디야
맛집,밥 먹을 곳 가르쳐줘
맛집,음식점 어디야
맛집,맛집 가르쳐줘
맛집,식당 어디야
맛집,맛있는 음식
맛집,밥집 알려줘
맛집,식당 알려줘
맛집,맛집 알려줘
맛집,맛집 어디야?
맛집,배고파 식당 알려줘
맛집,배고픈데 식사할 곳
맛집,배고픈데 밥먹을 곳
맛집,축제 주위 밥집
맛집,축제 주변 식당
맛집,으디서 밥먹어
맛집,식당 어데야
맛집,배채울 곳 있냐
맛집,맛집 있음?
맛집,배고파
맛집,가까운 식당 알려줘
맛집,요즘 맛집 어디야
맛집,밥 먹을 곳 좀
맛집,밥 우디서 먹어
맛집,맛있는거
맛집,이 지역 유명한 식당 갈쳐줘
맛집,맛집 어딘교
맛집,유명한 맛집 알려줘
맛집,유명한 식당 가르쳐줘
맛집,유명한 밥집 어딨어
맛집,맛집 알려주세요
맛집,베스트 맛집 알려줘
맛집,진짜 유명한 식당 있어?
맛집,축제랑 가까운 식당
맛집,축제 식당
맛집,축제 주위 식당
카페,버블티
카페,커피
카페,카페
카페,카패
카페,주스
카페,쥬스
카페,라떼
카페,스무디
카페,빙수
카페,팥빙수
카페,커피점
